speed;time
7,18;1.62825E+12
7,18;1.62825E+12
6,94;1.62825E+12
6,93;1.62825E+12
6,79;1.62825E+12
6,73;1.62825E+12
6,5;1.62825E+12
6,6;1.62825E+12
6,44;1.62825E+12
6,36;1.62825E+12
6,3;1.62825E+12
6,25;1.62825E+12
6,17;1.62825E+12
6,09;1.62825E+12
6,05;1.62825E+12
5,99;1.62825E+12
5,96;1.62825E+12
5,85;1.62825E+12
5,81;1.62825E+12
5,88;1.62825E+12
5,88;1.62825E+12
5,82;1.62825E+12
5,7;1.62825E+12
5,72;1.62825E+12
5,75;1.62825E+12
5,73;1.62825E+12
5,71;1.62825E+12
5,7;1.62825E+12
5,67;1.62825E+12
5,67;1.62825E+12
5,6;1.62825E+12
5,63;1.62825E+12
5,67;1.62825E+12
5,6;1.62825E+12
5,62;1.62825E+12
5,61;1.62825E+12
5,59;1.62825E+12
5,58;1.62825E+12
5,53;1.62825E+12
5,61;1.62825E+12
5,58;1.62825E+12
5,6;1.62825E+12
5,6;1.62825E+12
5,6;1.62825E+12
5,56;1.62825E+12
5,57;1.62825E+12
5,6;1.62825E+12
5,58;1.62825E+12
5,62;1.62825E+12
5,61;1.62825E+12
5,63;1.62825E+12
5,65;1.62825E+12
5,64;1.62825E+12
5,62;1.62825E+12
5,66;1.62825E+12
5,6;1.62825E+12
5,69;1.62825E+12
5,62;1.62825E+12
5,67;1.62825E+12
5,66;1.62825E+12
5,65;1.62825E+12
5,63;1.62825E+12
5,63;1.62825E+12
5,74;1.62825E+12
5,65;1.62825E+12
5,64;1.62825E+12
5,72;1.62825E+12
5,73;1.62825E+12
5,76;1.62825E+12
5,78;1.62825E+12
5,76;1.62825E+12
5,79;1.62825E+12
5,83;1.62825E+12
5,86;1.62825E+12
5,85;1.62825E+12
5,9;1.62825E+12
5,9;1.62825E+12
5,92;1.62825E+12
5,97;1.62825E+12
5,94;1.62825E+12
6,05;1.62825E+12
5,97;1.62825E+12
6,21;1.62825E+12
6,07;1.62825E+12
6,14;1.62825E+12
6,2;1.62825E+12
6,23;1.62825E+12
6,36;1.62825E+12
6,34;1.62825E+12
6,44;1.62825E+12
6,45;1.62825E+12
6,53;1.62825E+12
6,55;1.62825E+12
6,63;1.62825E+12
6,66;1.62825E+12
6,73;1.62825E+12
6,72;1.62825E+12
6,76;1.62825E+12
6,85;1.62825E+12
6,91;1.62825E+12
6,95;1.62825E+12
6,98;1.62825E+12
6,97;1.62825E+12
7,07;1.62825E+12
7,1;1.62825E+12
7,11;1.62825E+12
7,13;1.62825E+12
7,18;1.62825E+12
7,22;1.62825E+12
7,23;1.62825E+12
7,27;1.62825E+12
7,27;1.62825E+12
7,29;1.62825E+12
7,32;1.62825E+12
7,37;1.62825E+12
7,32;1.62825E+12
7,48;1.62825E+12
7,39;1.62825E+12
7,47;1.62825E+12
7,51;1.62825E+12
