speed,time
"9,61",2021-08-06 11:40:00
"9,65",2021-08-06 11:40:00
"9,62",2021-08-06 11:40:00
"9,64",2021-08-06 11:40:00
"9,54",2021-08-06 11:40:00
"9,56",2021-08-06 11:40:00
"9,62",2021-08-06 11:40:00
"9,57",2021-08-06 11:40:00
"9,55",2021-08-06 11:40:00
"9,45",2021-08-06 11:40:00
"9,49",2021-08-06 11:40:00
"9,48",2021-08-06 11:40:00
"9,37",2021-08-06 11:40:00
"9,4",2021-08-06 11:40:00
"9,41",2021-08-06 11:40:00
"9,34",2021-08-06 11:40:00
"9,36",2021-08-06 11:40:00
"9,32",2021-08-06 11:40:00
"9,27",2021-08-06 11:40:00
"9,3",2021-08-06 11:40:00
"9,28",2021-08-06 11:40:00
"9,26",2021-08-06 11:40:00
"9,26",2021-08-06 11:40:00
"9,24",2021-08-06 11:40:00
"9,21",2021-08-06 11:40:00
"9,19",2021-08-06 11:40:00
"9,18",2021-08-06 11:40:00
"9,13",2021-08-06 11:40:00
"9,15",2021-08-06 11:40:00
"9,09",2021-08-06 11:40:00
"9,11",2021-08-06 11:40:00
"9,08",2021-08-06 11:40:00
"9,05",2021-08-06 11:40:00
"8,99",2021-08-06 11:40:00
9,2021-08-06 11:40:00
"8,97",2021-08-06 11:40:00
"9,02",2021-08-06 11:40:00
"9,02",2021-08-06 11:40:00
"8,9",2021-08-06 11:40:00
"8,9",2021-08-06 11:40:00
"8,91",2021-08-06 11:40:00
"8,82",2021-08-06 11:40:00
"8,85",2021-08-06 11:40:00
"8,78",2021-08-06 11:40:00
"8,76",2021-08-06 11:40:00
"8,75",2021-08-06 11:40:00
"8,73",2021-08-06 11:40:00
"8,68",2021-08-06 11:40:00
"8,66",2021-08-06 11:40:00
"8,62",2021-08-06 11:40:00
"8,6",2021-08-06 11:40:00
"8,53",2021-08-06 11:40:00
"8,46",2021-08-06 11:40:00
"8,45",2021-08-06 11:40:00
"8,34",2021-08-06 11:40:00
"8,29",2021-08-06 11:40:00
"8,23",2021-08-06 11:40:00
"8,16",2021-08-06 11:40:00
"8,13",2021-08-06 11:40:00
"7,97",2021-08-06 11:40:00
"7,86",2021-08-06 11:40:00
"7,83",2021-08-06 11:40:00
"7,71",2021-08-06 11:40:00
"7,59",2021-08-06 11:40:00
"7,58",2021-08-06 11:40:00
"7,38",2021-08-06 11:40:00
"7,29",2021-08-06 11:40:00
"7,18",2021-08-06 11:40:00
"7,18",2021-08-06 11:40:00
"6,94",2021-08-06 11:40:00
"6,93",2021-08-06 11:40:00
"6,79",2021-08-06 11:40:00
"6,73",2021-08-06 11:40:00
"6,5",2021-08-06 11:40:00
"6,6",2021-08-06 11:40:00
"6,44",2021-08-06 11:40:00
"6,36",2021-08-06 11:40:00
"6,3",2021-08-06 11:40:00
"6,25",2021-08-06 11:40:00
"6,17",2021-08-06 11:40:00
"6,09",2021-08-06 11:40:00
"6,05",2021-08-06 11:40:00
"5,99",2021-08-06 11:40:00
"5,96",2021-08-06 11:40:00
"5,85",2021-08-06 11:40:00
"5,81",2021-08-06 11:40:00
"5,88",2021-08-06 11:40:00
"5,88",2021-08-06 11:40:00
"5,82",2021-08-06 11:40:00
"5,7",2021-08-06 11:40:00
"5,72",2021-08-06 11:40:00
"5,75",2021-08-06 11:40:00
"5,73",2021-08-06 11:40:00
"5,71",2021-08-06 11:40:00
"5,7",2021-08-06 11:40:00
"5,67",2021-08-06 11:40:00
"5,67",2021-08-06 11:40:00
"5,6",2021-08-06 11:40:00
"5,63",2021-08-06 11:40:00
"5,67",2021-08-06 11:40:00
"5,6",2021-08-06 11:40:00
"5,62",2021-08-06 11:40:00
"5,61",2021-08-06 11:40:00
"5,59",2021-08-06 11:40:00
"5,58",2021-08-06 11:40:00
"5,53",2021-08-06 11:40:00
"5,61",2021-08-06 11:40:00
"5,58",2021-08-06 11:40:00
"5,6",2021-08-06 11:40:00
"5,6",2021-08-06 11:40:00
"5,6",2021-08-06 11:40:00
"5,56",2021-08-06 11:40:00
"5,57",2021-08-06 11:40:00
"5,6",2021-08-06 11:40:00
"5,58",2021-08-06 11:40:00
"5,62",2021-08-06 11:40:00
"5,61",2021-08-06 11:40:00
"5,63",2021-08-06 11:40:00
"5,65",2021-08-06 11:40:00
"5,64",2021-08-06 11:40:00
"5,62",2021-08-06 11:40:00
"5,66",2021-08-06 11:40:00
"5,6",2021-08-06 11:40:00
"5,69",2021-08-06 11:40:00
"5,62",2021-08-06 11:40:00
"5,67",2021-08-06 11:40:00
"5,66",2021-08-06 11:40:00
"5,65",2021-08-06 11:40:00
"5,63",2021-08-06 11:40:00
"5,63",2021-08-06 11:40:00
"5,74",2021-08-06 11:40:00
"5,65",2021-08-06 11:40:00
"5,64",2021-08-06 11:40:00
"5,72",2021-08-06 11:40:00
"5,73",2021-08-06 11:40:00
"5,76",2021-08-06 11:40:00
"5,78",2021-08-06 11:40:00
"5,76",2021-08-06 11:40:00
"5,79",2021-08-06 11:40:00
"5,83",2021-08-06 11:40:00
"5,86",2021-08-06 11:40:00
"5,85",2021-08-06 11:40:00
"5,9",2021-08-06 11:40:00
"5,9",2021-08-06 11:40:00
"5,92",2021-08-06 11:40:00
"5,97",2021-08-06 11:40:00
"5,94",2021-08-06 11:40:00
"6,05",2021-08-06 11:40:00
"5,97",2021-08-06 11:40:00
"6,21",2021-08-06 11:40:00
"6,07",2021-08-06 11:40:00
"6,14",2021-08-06 11:40:00
"6,2",2021-08-06 11:40:00
"6,23",2021-08-06 11:40:00
"6,36",2021-08-06 11:40:00
"6,34",2021-08-06 11:40:00
"6,44",2021-08-06 11:40:00
"6,45",2021-08-06 11:40:00
"6,53",2021-08-06 11:40:00
"6,55",2021-08-06 11:40:00
"6,63",2021-08-06 11:40:00
"6,66",2021-08-06 11:40:00
"6,73",2021-08-06 11:40:00
"6,72",2021-08-06 11:40:00
"6,76",2021-08-06 11:40:00
"6,85",2021-08-06 11:40:00
"6,91",2021-08-06 11:40:00
"6,95",2021-08-06 11:40:00
"6,98",2021-08-06 11:40:00
"6,97",2021-08-06 11:40:00
"7,07",2021-08-06 11:40:00
"7,1",2021-08-06 11:40:00
"7,11",2021-08-06 11:40:00
"7,13",2021-08-06 11:40:00
"7,18",2021-08-06 11:40:00
"7,22",2021-08-06 11:40:00
"7,23",2021-08-06 11:40:00
"7,27",2021-08-06 11:40:00
"7,27",2021-08-06 11:40:00
"7,29",2021-08-06 11:40:00
"7,32",2021-08-06 11:40:00
"7,37",2021-08-06 11:40:00
"7,32",2021-08-06 11:40:00
"7,48",2021-08-06 11:40:00
"7,39",2021-08-06 11:40:00
"7,47",2021-08-06 11:40:00
"7,51",2021-08-06 11:40:00
"7,49",2021-08-06 11:40:00
"7,55",2021-08-06 11:40:00
"7,53",2021-08-06 11:40:00
"7,61",2021-08-06 11:40:00
"7,62",2021-08-06 11:40:00
"7,57",2021-08-06 11:40:00
"7,7",2021-08-06 11:40:00
"7,72",2021-08-06 11:40:00
"7,71",2021-08-06 11:40:00
"7,73",2021-08-06 11:40:00
"7,73",2021-08-06 11:40:00
"7,77",2021-08-06 11:40:00
"7,76",2021-08-06 11:40:00
"7,79",2021-08-06 11:40:00
"7,84",2021-08-06 11:40:00
"7,86",2021-08-06 11:40:00
"7,88",2021-08-06 11:40:00
"7,97",2021-08-06 11:40:00
"7,94",2021-08-06 11:40:00
8,2021-08-06 11:40:00
"7,95",2021-08-06 11:40:00
"8,06",2021-08-06 11:40:00
"8,07",2021-08-06 11:40:00
"8,17",2021-08-06 11:40:00
"8,14",2021-08-06 11:40:00
"8,2",2021-08-06 11:40:00
"8,25",2021-08-06 11:40:00
"8,22",2021-08-06 11:40:00
"8,3",2021-08-06 11:40:00
"8,3",2021-08-06 11:40:00
"8,29",2021-08-06 11:40:00
"8,32",2021-08-06 11:40:00
"8,38",2021-08-06 11:40:00
"8,39",2021-08-06 11:40:00
"8,4",2021-08-06 11:40:00
"8,42",2021-08-06 11:40:00
"8,41",2021-08-06 11:40:00
"8,44",2021-08-06 11:40:00
"8,47",2021-08-06 11:40:00
"8,46",2021-08-06 11:40:00
"8,43",2021-08-06 11:40:00
"8,53",2021-08-06 11:40:00
"8,52",2021-08-06 11:40:00
"8,5",2021-08-06 11:40:00
"8,62",2021-08-06 11:40:00
"8,61",2021-08-06 11:40:00
"8,62",2021-08-06 11:40:00
"8,68",2021-08-06 11:40:00
"8,75",2021-08-06 11:40:00
"8,76",2021-08-06 11:40:00
"8,82",2021-08-06 11:40:00
"8,73",2021-08-06 11:40:00
"8,85",2021-08-06 11:40:00
"8,83",2021-08-06 11:40:00
"8,88",2021-08-06 11:40:00
"8,9",2021-08-06 11:40:00
"8,97",2021-08-06 11:40:00
"8,91",2021-08-06 11:40:00
"9,04",2021-08-06 11:40:00
"9,01",2021-08-06 11:40:00
"8,96",2021-08-06 11:40:00
"9,03",2021-08-06 11:40:00
"9,06",2021-08-06 11:40:00
"9,1",2021-08-06 11:40:00
"9,09",2021-08-06 11:40:00
"9,09",2021-08-06 11:40:00
"9,11",2021-08-06 11:40:00
"9,04",2021-08-06 11:40:00
"9,09",2021-08-06 11:40:00
"9,18",2021-08-06 11:40:00
"9,14",2021-08-06 11:40:00
"9,23",2021-08-06 11:40:00
"9,22",2021-08-06 11:40:00
"9,29",2021-08-06 11:40:00
"9,27",2021-08-06 11:40:00
"9,3",2021-08-06 11:40:00
"9,25",2021-08-06 11:40:00
"9,22",2021-08-06 11:40:00
"9,15",2021-08-06 11:40:00
"9,26",2021-08-06 11:40:00
"9,29",2021-08-06 11:40:00
"9,34",2021-08-06 11:40:00
"9,3",2021-08-06 11:40:00
"9,36",2021-08-06 11:40:00
"9,39",2021-08-06 11:40:00
"9,37",2021-08-06 11:40:00
"9,44",2021-08-06 11:40:00
"9,48",2021-08-06 11:40:00
"9,43",2021-08-06 11:40:00
"9,47",2021-08-06 11:40:00
"9,49",2021-08-06 11:40:00
"9,46",2021-08-06 11:40:00
"9,51",2021-08-06 11:40:00
"9,5",2021-08-06 11:40:00
"9,53",2021-08-06 11:40:00
"9,51",2021-08-06 11:40:00
"9,52",2021-08-06 11:40:00
"9,57",2021-08-06 11:40:00
"9,57",2021-08-06 11:40:00
"9,51",2021-08-06 11:40:00
"9,56",2021-08-06 11:40:00
"9,58",2021-08-06 11:40:00
"9,55",2021-08-06 11:40:00
"9,62",2021-08-06 11:40:00
"9,59",2021-08-06 11:40:00
"9,6",2021-08-06 11:40:00
"9,57",2021-08-06 11:40:00
"9,58",2021-08-06 11:40:00
"9,58",2021-08-06 11:40:00
"9,61",2021-08-06 11:40:00
"9,56",2021-08-06 11:40:00
"9,56",2021-08-06 11:40:00
"9,54",2021-08-06 11:40:00
"9,52",2021-08-06 11:40:00
"9,51",2021-08-06 11:40:00
"9,51",2021-08-06 11:40:00
"9,43",2021-08-06 11:40:00
"9,44",2021-08-06 11:40:00
"9,48",2021-08-06 11:40:00
"9,38",2021-08-06 11:40:00
"9,32",2021-08-06 11:40:00
"9,21",2021-08-06 11:40:00
"9,14",2021-08-06 11:40:00
"9,01",2021-08-06 11:40:00
"8,94",2021-08-06 11:40:00
"8,81",2021-08-06 11:40:00
"8,73",2021-08-06 11:40:00
"8,62",2021-08-06 11:40:00
"8,52",2021-08-06 11:40:00
"8,35",2021-08-06 11:40:00
"8,26",2021-08-06 11:40:00
"8,11",2021-08-06 11:40:00
"8,02",2021-08-06 11:40:00
"7,89",2021-08-06 11:40:00
"7,68",2021-08-06 11:40:00
"7,64",2021-08-06 11:40:00
"7,43",2021-08-06 11:40:00
"7,31",2021-08-06 11:40:00
"7,23",2021-08-06 11:40:00
"7,17",2021-08-06 11:40:00
"7,08",2021-08-06 11:40:00
"6,93",2021-08-06 11:40:00
"6,89",2021-08-06 11:40:00
"6,7",2021-08-06 11:40:00
"6,57",2021-08-06 11:40:00
"6,54",2021-08-06 11:40:00
"6,46",2021-08-06 11:40:00
"6,39",2021-08-06 11:40:00
"6,21",2021-08-06 11:40:00
"6,25",2021-08-06 11:40:00
"6,23",2021-08-06 11:40:00
"6,22",2021-08-06 11:40:00
"6,12",2021-08-06 11:40:00
"6,14",2021-08-06 11:40:00
"5,97",2021-08-06 11:40:00
"5,92",2021-08-06 11:40:00
